epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05129,1.34219,2.52375,1.2769,0.0028,0.75097,0.05166,0.0214,1.65234,4.04321,1.5222,0.000651515,0.000651515,0.000651515
2,17.679,1.32757,1.83313,1.22618,0.79701,0.63424,0.71295,0.39896,1.34064,2.46871,1.30604,0.00130513,0.00130513,0.00130513
3,24.8808,1.34795,1.64052,1.25183,0.53961,0.52529,0.48544,0.25046,1.55239,2.21517,1.45081,0.00194555,0.00194555,0.00194555
4,31.9679,1.37294,1.50182,1.28994,0.83742,0.74319,0.82412,0.47725,1.43242,1.33582,1.385,0.0019406,0.0019406,0.0019406
5,38.9114,1.3669,1.28835,1.24166,0.80338,0.74708,0.82417,0.50899,1.28394,1.75041,1.19162,0.0019208,0.0019208,0.0019208
6,45.7697,1.29858,1.20106,1.21366,0.7446,0.75486,0.82297,0.45441,1.40074,1.28714,1.27695,0.001901,0.001901,0.001901
7,52.6263,1.25198,1.08773,1.20728,0.82754,0.83658,0.88229,0.56518,1.23363,1.08019,1.19242,0.0018812,0.0018812,0.0018812
8,59.5695,1.25813,1.06048,1.20033,0.85419,0.84343,0.88928,0.5346,1.37625,1.03261,1.29122,0.0018614,0.0018614,0.0018614
9,66.5109,1.26961,0.98924,1.21314,0.92902,0.8658,0.95134,0.58059,1.28112,0.90069,1.23596,0.0018416,0.0018416,0.0018416
10,73.3672,1.20797,0.91854,1.16594,0.90527,0.93385,0.95126,0.6117,1.2345,0.82281,1.20514,0.0018218,0.0018218,0.0018218
11,80.4491,1.198,0.91097,1.16726,0.87951,0.90891,0.95231,0.61492,1.23052,0.93855,1.21173,0.001802,0.001802,0.001802
12,87.0364,1.19863,0.86383,1.16885,0.93037,0.92607,0.95556,0.55991,1.35904,0.79518,1.26254,0.0017822,0.0017822,0.0017822
13,93.6357,1.18441,0.86629,1.17604,0.90628,0.94072,0.96793,0.63634,1.18098,0.72184,1.1611,0.0017624,0.0017624,0.0017624
14,100.304,1.13153,0.82947,1.12484,0.90359,0.94942,0.96906,0.6567,1.14724,0.73266,1.1495,0.0017426,0.0017426,0.0017426
15,106.857,1.19095,0.83652,1.1589,0.89651,0.93774,0.96709,0.65923,1.11675,0.73853,1.12712,0.0017228,0.0017228,0.0017228
16,113.402,1.13395,0.79482,1.1177,0.88677,0.91419,0.93476,0.60605,1.2978,0.77421,1.21784,0.001703,0.001703,0.001703
